                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0092,                 3.7152,                 1.7906,                0.51951,                0.02778,                0.03783,                0.01303,                 2.3473,                 4.2324,                 3.5918,                 0.0856,                 0.0016,                 0.0016
                      2,                 2.0064,                 2.6027,                 1.7999,                0.00041,                0.08951,                0.00175,                 0.0002,                 3.2069,                    inf,                 22.174,               0.070218,              0.0032183,              0.0032183
                      3,                 2.0903,                 2.4456,                 1.8891,                 0.0002,                0.04938,                0.00015,                  2e-05,                    3.4,                    inf,                 24.109,               0.054753,              0.0047525,              0.0047525
                      4,                  2.063,                 2.2882,                 1.8567,                 0.0002,                0.04938,                0.00015,                  2e-05,                 3.7941,                    inf,                 15.304,               0.039203,              0.0062025,              0.0062025
                      5,                 1.9598,                 2.1135,                 1.7838,                 0.0003,                0.08571,                0.00033,                0.00011,                 3.6744,                    inf,                 11.846,               0.023568,              0.0075684,              0.0075684
                      6,                 1.9544,                 2.0656,                 1.7478,                0.00159,                0.01235,                0.00106,                0.00021,                 5.2073,                    inf,                 47.559,              0.0087625,              0.0087625,              0.0087625
                      7,                 2.0424,                 1.9807,                 1.8172,                0.00012,                0.04365,                 0.0002,                  7e-05,                 4.6063,                    inf,                 27.276,               0.008515,               0.008515,               0.008515
                      8,                 1.8929,                 1.8461,                 1.7359,                 0.2641,                 0.4425,                0.36666,                0.16044,                 2.4395,                 98.716,                 2.8337,              0.0082675,              0.0082675,              0.0082675
                      9,                  1.905,                 1.7598,                 1.7257,                0.18976,                0.47939,                0.30671,                 0.1606,                 2.2888,                 34.296,                 2.7053,                0.00802,                0.00802,                0.00802
                     10,                 1.8817,                 1.7251,                 1.7184,                0.49532,                0.48703,                0.46943,                0.25103,                 2.0612,                  9.355,                 2.4259,              0.0077725,              0.0077725,              0.0077725
                     11,                 1.8337,                 1.6231,                 1.6657,                0.52738,                0.50732,                0.49761,                0.27949,                 1.9387,                 5.4681,                 2.1429,               0.007525,               0.007525,               0.007525
                     12,                 1.8263,                 1.5827,                 1.6588,                0.34062,                0.65528,                0.49717,                0.21856,                 2.0318,                 2.8952,                 2.1933,              0.0072775,              0.0072775,              0.0072775
                     13,                 1.7698,                 1.5196,                 1.6401,                0.40098,                0.65992,                 0.6337,                 0.2757,                 1.8884,                 1.9476,                 1.9446,                0.00703,                0.00703,                0.00703
                     14,                 1.7894,                 1.4725,                  1.618,                0.69263,                0.77487,                0.77225,                0.37671,                  1.759,                 1.8672,                 1.7564,              0.0067825,              0.0067825,              0.0067825
                     15,                 1.7598,                 1.4456,                 1.5869,                0.56716,                 0.5375,                0.59056,                0.29368,                 1.7946,                  1.937,                 1.8255,               0.006535,               0.006535,               0.006535
                     16,                 1.7222,                 1.4262,                 1.5931,                 0.7116,                 0.5239,                0.64717,                0.34869,                 1.5745,                 3.4819,                 1.6107,              0.0062875,              0.0062875,              0.0062875
                     17,                 1.7025,                 1.3901,                 1.5882,                0.66846,                0.71316,                0.73914,                0.41243,                  1.652,                  1.362,                  1.661,                0.00604,                0.00604,                0.00604
                     18,                 1.6651,                 1.3767,                 1.5867,                0.67835,                0.83461,                0.80778,                0.40811,                 1.6467,                 1.3241,                 1.6773,              0.0057925,              0.0057925,              0.0057925
                     19,                 1.7112,                 1.3812,                 1.5667,                0.66057,                0.78633,                0.82262,                0.45384,                 1.6271,                 1.3447,                 1.6611,               0.005545,               0.005545,               0.005545
                     20,                 1.6664,                 1.3554,                 1.5367,                0.65794,                 0.7408,                 0.7789,                0.44576,                 1.5946,                 1.5085,                 1.6056,              0.0052975,              0.0052975,              0.0052975
                     21,                 1.6788,                 1.3624,                 1.5478,                0.90169,                0.61929,                 0.7284,                0.42823,                 1.5096,                 1.3604,                 1.5836,                0.00505,                0.00505,                0.00505
                     22,                 1.6568,                 1.3251,                 1.5493,                0.89399,                0.58142,                0.79446,                0.45406,                 1.5327,                 1.4377,                    1.6,              0.0048025,              0.0048025,              0.0048025
                     23,                 1.6361,                 1.2716,                 1.5474,                0.64239,                0.79598,                0.84991,                0.48071,                 1.5136,                 1.1719,                 1.5914,               0.004555,               0.004555,               0.004555
                     24,                  1.617,                  1.268,                 1.5292,                0.67794,                0.92539,                0.82649,                0.44801,                 1.5587,                 1.2386,                 1.5791,              0.0043075,              0.0043075,              0.0043075
                     25,                 1.5677,                 1.2197,                 1.4753,                0.82396,                0.77031,                0.87124,                0.47855,                 1.5012,                 1.0977,                 1.5484,                0.00406,                0.00406,                0.00406
                     26,                 1.5547,                 1.2191,                 1.4878,                0.81236,                0.90396,                0.90015,                0.50908,                 1.4184,                 1.0632,                 1.5044,              0.0038125,              0.0038125,              0.0038125
                     27,                 1.5808,                 1.1839,                 1.4569,                0.79823,                0.83807,                0.88791,                0.45418,                  1.514,                 1.0562,                 1.5475,               0.003565,               0.003565,               0.003565
                     28,                 1.5445,                 1.1695,                 1.4802,                0.81069,                0.85106,                0.90215,                0.50713,                 1.4666,                 1.0499,                  1.518,              0.0033175,              0.0033175,              0.0033175
                     29,                 1.5332,                 1.1894,                 1.4564,                0.84572,                0.84468,                0.90376,                0.49878,                 1.5187,                 1.0885,                 1.5666,                0.00307,                0.00307,                0.00307
                     30,                 1.5241,                 1.1118,                 1.4365,                0.87108,                0.81345,                0.89002,                0.52106,                 1.4671,                0.98813,                 1.5362,              0.0028225,              0.0028225,              0.0028225
                     31,                 1.5036,                 1.0736,                 1.5006,                0.77459,                0.83765,                 0.8648,                  0.471,                 1.5684,                 1.0922,                 1.5579,               0.002575,               0.002575,               0.002575
                     32,                 1.5241,                 1.0477,                 1.5102,                0.77303,                0.85185,                0.87593,                0.48449,                 1.5242,                 1.0305,                 1.5386,              0.0023275,              0.0023275,              0.0023275
                     33,                 1.4723,                0.99005,                 1.4628,                0.72495,                0.94444,                0.87578,                0.50943,                 1.5394,                 1.0134,                 1.5235,                0.00208,                0.00208,                0.00208
                     34,                 1.4711,                0.95287,                  1.426,                0.80735,                0.87574,                0.93171,                0.53033,                 1.5098,                 1.0289,                 1.5039,              0.0018325,              0.0018325,              0.0018325
                     35,                 1.4086,                0.93404,                 1.4329,                0.77854,                0.89604,                0.93028,                0.50799,                 1.5249,                0.99767,                 1.5372,               0.001585,               0.001585,               0.001585
                     36,                 1.4438,                0.93519,                 1.4512,                0.78141,                0.86799,                0.89821,                0.51733,                 1.5011,                 0.9723,                 1.5381,              0.0013375,              0.0013375,              0.0013375
                     37,                 1.4323,                0.90643,                  1.434,                0.81884,                0.83177,                0.91094,                0.51606,                 1.4699,                0.95441,                 1.5099,                0.00109,                0.00109,                0.00109
                     38,                 1.3766,                0.87614,                   1.41,                 0.7921,                0.86468,                0.91082,                0.52347,                 1.4463,                0.92493,                  1.487,              0.0008425,              0.0008425,              0.0008425
                     39,                 1.3481,                0.87009,                 1.3713,                0.82073,                0.90118,                0.92128,                0.52878,                  1.433,                0.90037,                 1.4824,               0.000595,               0.000595,               0.000595
                     40,                 1.3556,                0.86807,                  1.397,                0.85559,                0.90376,                0.93625,                0.54319,                 1.4028,                0.90064,                 1.4591,              0.0003475,              0.0003475,              0.0003475
