                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.189,                 6.3598,                 1.8985,                      0,                      0,                      0,                      0,                 3.3352,                    inf,                 7.3266,                 0.0856,                 0.0016,                 0.0016
                      2,                 2.2614,                 3.5385,                 2.0923,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.070191,              0.0031911,              0.0031911
                      3,                 2.2831,                 3.0781,                  2.141,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,                0.05467,                0.00467,                0.00467
                      4,                 2.2536,                 2.8438,                  2.125,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.039037,              0.0060367,              0.0060367
                      5,                 2.1257,                 2.5903,                 2.0267,                      0,                      0,                      0,                      0,                    nan,                    nan,                    nan,               0.023291,              0.0072912,              0.0072912
                      6,                 2.1264,                 2.3397,                 1.9966,                  4e-05,                0.01587,                  3e-05,                  1e-05,                 3.8078,                    inf,                 195.87,                0.00835,                0.00835,                0.00835
                      7,                 2.0779,                 2.2516,                 1.9568,                 0.2223,                0.01852,                  5e-05,                  1e-05,                 3.4788,                    inf,                 195.48,                0.00802,                0.00802,                0.00802
                      8,                 1.9988,                 2.1389,                 1.8909,                0.11131,                0.09259,                0.00049,                  5e-05,                 4.5376,                    inf,                 592.42,                0.00769,                0.00769,                0.00769
                      9,                 2.0236,                 2.0236,                 1.9152,                0.40807,                   0.05,                0.04479,                0.01598,                 3.3622,                 10.918,                 7.9464,                0.00736,                0.00736,                0.00736
                     10,                 2.0136,                 2.0077,                  1.932,                0.11128,                0.10185,                0.06965,                0.02086,                 4.3487,                    inf,                 41.834,                0.00703,                0.00703,                0.00703
                     11,                 1.9448,                 1.9061,                 1.8487,                 0.3335,                0.02778,                  7e-05,                  1e-05,                 4.6335,                 157.19,                 31.156,                 0.0067,                 0.0067,                 0.0067
                     12,                 1.9361,                 1.7737,                 1.8328,                0.78787,                 0.5259,                 0.5902,                0.30491,                 1.7982,                 2.9943,                 2.0233,                0.00637,                0.00637,                0.00637
                     13,                  1.897,                 1.7332,                 1.8195,                0.83641,                 0.4491,                0.53181,                0.27409,                 1.9086,                 5.5017,                 2.1293,                0.00604,                0.00604,                0.00604
                     14,                 1.8615,                 1.6474,                 1.7568,                0.65541,                0.56994,                0.54115,                0.29568,                 1.8518,                 6.7942,                 2.0358,                0.00571,                0.00571,                0.00571
                     15,                 1.8445,                 1.6066,                 1.7558,                0.63684,                0.49593,                 0.5552,                   0.29,                 1.8578,                 3.2466,                 3.1873,                0.00538,                0.00538,                0.00538
                     16,                 1.8345,                 1.6078,                 1.7597,                0.82667,                 0.5414,                0.63176,                0.34798,                  1.676,                 2.6016,                 1.8651,                0.00505,                0.00505,                0.00505
                     17,                 1.7768,                 1.5101,                 1.7368,                0.57187,                0.68868,                0.71503,                0.36161,                  1.725,                 1.7263,                 1.8935,                0.00472,                0.00472,                0.00472
                     18,                 1.7374,                 1.5228,                 1.7411,                0.51144,                0.68591,                0.70954,                  0.377,                 1.6139,                  1.608,                 1.8239,                0.00439,                0.00439,                0.00439
                     19,                  1.777,                 1.4937,                 1.7154,                0.63015,                0.68703,                0.69757,                0.38639,                 1.7418,                 1.5929,                  1.889,                0.00406,                0.00406,                0.00406
                     20,                  1.758,                 1.4932,                 1.7221,                0.68507,                0.74621,                0.74962,                0.39904,                 1.7139,                 1.3982,                  1.935,                0.00373,                0.00373,                0.00373
                     21,                 1.7346,                 1.4535,                 1.7981,                0.65328,                 0.6773,                0.76155,                0.39885,                 1.6592,                  1.515,                 1.8529,                 0.0034,                 0.0034,                 0.0034
                     22,                 1.7002,                 1.3775,                 1.7745,                0.47706,                0.80708,                0.75763,                0.41675,                 1.5749,                 1.6031,                 1.8087,                0.00307,                0.00307,                0.00307
                     23,                 1.6931,                 1.3309,                 1.8114,                0.81419,                0.68631,                0.77454,                0.40072,                 1.5605,                 1.5491,                 1.8485,                0.00274,                0.00274,                0.00274
                     24,                 1.6641,                 1.2639,                 1.7421,                0.86948,                0.74422,                0.82286,                 0.4082,                 1.6389,                 1.3403,                 1.9047,                0.00241,                0.00241,                0.00241
                     25,                 1.6651,                 1.2229,                 1.7785,                0.87309,                0.76608,                0.81918,                0.45195,                 1.5363,                 1.2726,                 1.8388,                0.00208,                0.00208,                0.00208
                     26,                  1.636,                 1.2206,                 1.7174,                0.64047,                0.80494,                0.78939,                0.43524,                 1.5163,                 1.3247,                 1.8363,                0.00175,                0.00175,                0.00175
                     27,                 1.5987,                 1.1762,                 1.7061,                0.68107,                0.81173,                0.84994,                0.44738,                 1.5158,                 1.2269,                 1.7877,                0.00142,                0.00142,                0.00142
                     28,                 1.6018,                 1.1565,                 1.7192,                0.66879,                0.84862,                 0.8617,                0.48317,                 1.5163,                 1.1484,                 1.7716,                0.00109,                0.00109,                0.00109
                     29,                 1.5837,                 1.1072,                 1.6861,                0.62992,                0.85843,                0.88523,                0.50108,                  1.469,                 1.1311,                 1.7323,                0.00076,                0.00076,                0.00076
                     30,                 1.5696,                 1.0976,                 1.6625,                0.66095,                 0.8932,                0.88315,                0.49118,                 1.4786,                 1.1045,                 1.7298,                0.00043,                0.00043,                0.00043
