                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4784,                 5.7557,                 2.2464,                 2.2778,                 13.646,                 1.9623,                      0,                      0,                      0,                      0,                 4.5332,             7.0326e+09,             2.0416e+07,                 3.4061,             5.5261e+10,             6.6449e+07,                 0.0856,                 0.0016,                 0.0016
                      2,                 2.9523,                 4.1165,                 2.8604,                 2.6109,                 4.6204,                 2.2853,                      0,                      0,                      0,                      0,                 3.9348,             6.1397e+11,             8.5614e+09,                 2.8766,             1.3006e+12,             9.8638e+07,               0.070191,              0.0031911,              0.0031911
                      3,                 2.7633,                 3.8803,                 2.7618,                  2.666,                 4.1122,                 2.3575,                      0,                      0,                      0,                      0,                 4.0133,             4.3557e+11,             1.4483e+09,                 3.2537,             1.1892e+12,             4.9847e+08,                0.05467,                0.00467,                0.00467
                      4,                 2.5738,                 3.5886,                 2.7466,                 2.4816,                 3.9875,                 2.2832,                      0,                      0,                      0,                      0,                 4.4054,             3.0736e+08,             5.6634e+05,                      0,             2.7358e+07,                      0,               0.039037,              0.0060367,              0.0060367
                      5,                 2.3869,                 3.2726,                    2.6,                 2.3194,                 3.6261,                 2.1702,                      0,                      0,                      0,                      0,                 3.8317,             3.8599e+05,                 624.35,                 2.3727,             3.6656e+06,                 1245.6,               0.023291,              0.0072912,              0.0072912
                      6,                 2.3548,                 3.0922,                 2.5674,                 2.3254,                 3.4555,                 2.1645,                      0,                      0,                      0,                      0,                 3.9121,                 913.92,                 73.471,                 3.9554,             1.9431e+05,                 125.47,                0.00835,                0.00835,                0.00835
                      7,                 2.2999,                 2.8922,                  2.453,                 2.3231,                 3.2829,                  2.104,                 0.5873,                0.05556,                0.08429,                0.04113,                 2.6273,                 74.733,                 6.0919,                 2.5565,                 375.43,                 5.3825,                0.00835,                0.00835,                0.00835
                      8,                 2.2722,                 2.8594,                  2.449,                 2.2321,                 3.3267,                 2.1215,                0.16496,                0.11984,                0.04597,                0.01681,                 3.5257,                 65.496,                 4.9993,                 2.9919,                 38.596,                 4.0662,                0.00802,                0.00802,                0.00802
                      9,                 2.2877,                 2.7072,                 2.4435,                 2.2227,                 3.1534,                 2.1155,                0.67168,                0.13883,                0.17333,                0.06202,                 2.4524,                 5.2591,                 2.7612,                  2.081,                 15.701,                 2.4423,                0.00769,                0.00769,                0.00769
                     10,                 2.3244,                 2.6495,                 2.4628,                 2.2481,                 2.9985,                  2.102,                 0.2404,                0.35635,                0.24086,                0.10038,                 2.2532,                 37.362,                 2.6289,                  2.275,                 25.602,                 2.6423,                0.00736,                0.00736,                0.00736
