                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0502,                 3.8698,                  1.829,                 1.8595,                 4.8553,                  1.611,                0.33367,                0.03704,                0.00018,                  3e-05,                 4.0799,                 23.584,                 27.289,                 3.5626,                 12.653,                 18.046,                 0.0856,                 0.0016,                 0.0016
                      2,                 2.1054,                 2.8739,                 1.8515,                 1.9421,                 3.5384,                 1.6669,                0.33367,                0.03704,                0.00018,                  3e-05,                 3.8023,             1.3167e+05,                 2321.1,                 3.0604,             4.4046e+05,                 2261.8,               0.070191,              0.0031911,              0.0031911
                      3,                 2.1534,                  2.574,                 1.8628,                 2.0373,                  3.179,                 1.7538,                0.33367,                0.03704,                0.00018,                  3e-05,                 4.6186,             2.3232e+06,                 9756.2,                 3.9256,             1.2104e+07,                 6682.5,                0.05467,                0.00467,                0.00467
                      4,                 2.1535,                 2.5236,                 1.8487,                  2.067,                 3.0583,                  1.731,                0.33367,                0.03704,                0.00018,                  3e-05,                 3.5186,             6.3398e+06,                 3630.6,                 3.1059,             2.3617e+07,                   8158,               0.039037,              0.0060367,              0.0060367
                      5,                  2.103,                 2.3989,                 1.8698,                 2.0697,                 2.8809,                 1.7967,                0.33367,                0.03704,                0.00018,                  3e-05,                 4.2482,             9.3275e+05,                 1160.6,                 3.2704,             2.2804e+06,                 703.69,               0.023291,              0.0072912,              0.0072912
                      6,                 2.0281,                 2.1675,                 1.8029,                 2.0002,                  2.669,                 1.7062,                0.33367,                0.03704,                0.00018,                  3e-05,                 4.1536,             1.3827e+05,                 94.374,                 3.7419,             5.8091e+05,                 103.58,                0.00835,                0.00835,                0.00835
                      7,                 2.0034,                 2.0209,                 1.7722,                 1.9405,                 2.5469,                 1.6717,                0.11163,                0.02778,                0.00022,                  2e-05,                  4.083,                   3889,                 11.114,                 3.4968,                 5618.3,                 8.3515,                0.00835,                0.00835,                0.00835
                      8,                 1.9585,                 1.9626,                 1.6987,                 1.9123,                 2.4816,                 1.6506,                0.15372,                0.09237,                0.02637,                0.00807,                 2.6763,                 733.17,                 3.2818,                 2.2886,                 1138.2,                 2.9471,                0.00802,                0.00802,                0.00802
                      9,                 1.9542,                 1.8865,                 1.6937,                 1.9735,                 2.3411,                  1.647,                0.12121,                0.38324,                0.16041,                0.07333,                 2.0731,                 204.71,                 2.4255,                 2.0158,                 446.91,                 2.4821,                0.00769,                0.00769,                0.00769
                     10,                 1.9326,                 1.8567,                 1.7061,                   1.94,                 2.3339,                 1.6597,                0.21071,                0.47081,                0.26652,                0.13939,                 1.9824,                 56.991,                 2.0296,                 1.8648,                 64.173,                  2.004,                0.00736,                0.00736,                0.00736
                     11,                 1.8689,                 1.7233,                 1.6436,                 1.8707,                 2.1698,                 1.6199,                0.35089,                0.45343,                0.36113,                0.20224,                 1.7638,                 6.9098,                 1.8374,                 1.7059,                 11.607,                 1.7908,                0.00703,                0.00703,                0.00703
                     12,                 1.8599,                 1.7178,                 1.6486,                 1.8671,                 2.1401,                 1.6036,                 0.5766,                0.35454,                0.37173,                0.19436,                 2.1271,                 11.097,                 2.3515,                 2.1739,                 8.5338,                 2.3525,                 0.0067,                 0.0067,                 0.0067
                     13,                   1.85,                 1.6978,                 1.6554,                 1.8545,                 2.1391,                 1.5956,                0.66637,                0.26657,                0.35908,                0.18049,                 1.9438,                 3.5996,                 1.9884,                 1.8416,                 3.9378,                 1.9502,                0.00637,                0.00637,                0.00637
                     14,                 1.8403,                  1.623,                 1.6234,                  1.806,                 1.9818,                 1.5407,                0.56952,                0.47576,                 0.5631,                0.25427,                 2.0103,                 3.3435,                 1.9241,                 1.9293,                  2.788,                 1.8039,                0.00604,                0.00604,                0.00604
                     15,                 1.7948,                 1.4983,                 1.5811,                  1.804,                 1.8984,                 1.5169,                0.52226,                0.51543,                0.58703,                0.28832,                 1.7203,                 2.0173,                 1.6996,                 1.6679,                 2.1658,                 1.6525,                0.00571,                0.00571,                0.00571
