                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.4784,                 5.7557,                 2.2464,                 2.2778,                 13.646,                 1.9623,                      0,                      0,                      0,                      0,                 4.5834,             6.6873e+09,             1.7952e+07,                 3.3842,             4.6475e+10,             5.2773e+07,                 0.0856,                 0.0016,                 0.0016
                      2,                 2.9476,                 4.1738,                 2.8648,                 2.6295,                 4.7402,                 2.3017,                      0,                      0,                      0,                      0,                 3.4242,             5.0471e+13,             1.0126e+10,                 3.3719,             9.5038e+13,             1.4058e+10,               0.070297,              0.0032968,              0.0032968
                      3,                 2.7287,                 3.7164,                 2.7239,                 2.5973,                 4.1558,                 2.3314,                      0,                      0,                      0,                      0,                 4.3185,             9.7382e+13,             4.9753e+11,                  4.822,             1.3625e+13,             5.6299e+09,                0.05498,              0.0049805,              0.0049805
                      4,                  2.563,                 3.4811,                 2.7315,                 2.5236,                 3.8761,                 2.2692,                0.77787,                0.11111,                 0.0001,                  5e-05,                  4.117,             7.4035e+09,             3.2772e+07,                 2.6301,             1.3238e+09,             7.7341e+07,               0.039641,              0.0066413,              0.0066413
                      5,                 2.4575,                 3.2765,                 2.6216,                 2.3721,                 3.6972,                 2.2851,                0.77787,                0.11111,                 0.0001,                  5e-05,                 5.4791,             1.3439e+08,             3.4386e+05,                 0.2822,             6.1988e+07,                 353.93,               0.024269,              0.0082694,              0.0082694
                      6,                 2.4048,                 3.0912,                 2.5624,                  2.329,                 3.5461,                 2.1958,                0.77787,                0.11111,                 0.0001,                  5e-05,                      0,             8.6276e+05,                      0,                 5.1057,             4.0423e+06,                 1063.2,              0.0097577,              0.0097577,              0.0097577
                      7,                 2.3973,                 3.0221,                 2.5227,                 2.3255,                 3.3803,                 2.1692,                0.77787,                0.11111,                 0.0001,                  5e-05,                0.00013,                  36354,                0.03833,                 2.5778,                  29594,                 9.2806,              0.0097577,              0.0097577,              0.0097577
                      8,                 2.3539,                  3.037,                 2.4959,                 2.3123,                 3.4152,                 2.2279,                0.77787,                0.11111,                 0.0001,                  5e-05,                 4.8343,                 1764.2,                 633.49,                 1.8367,                 413.79,                  6.656,              0.0096524,              0.0096524,              0.0096524
                      9,                 2.3372,                 2.7227,                 2.4542,                 2.2951,                 3.1396,                 2.1782,                0.77787,                0.11111,                 0.0001,                  5e-05,                 3.8072,                 16.503,                 43.818,                  2.961,                 13.417,                 9.3608,              0.0095289,              0.0095289,              0.0095289
                     10,                 2.3674,                 2.7126,                 2.5198,                 2.2946,                 3.1838,                 2.1736,                0.77787,                0.11111,                 0.0001,                  5e-05,                  3.878,                 202.73,                 34.904,                 3.2754,                 13.106,                 7.0419,              0.0093877,              0.0093877,              0.0093877
