                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.9033,                 3.1519,                 1.8221,                0.74052,                0.70017,                0.78797,                0.45474,                 1.4763,                 2.7065,                 1.4916,             0.00012304,             0.00012304,             0.00012304
                      2,                 1.5888,                 1.5577,                 1.4834,                 0.7743,                 0.8248,                0.84403,                0.49048,                 1.4747,                 2.0737,                 1.4571,             0.00025352,             0.00025352,             0.00025352
                      3,                 1.5161,                 1.4187,                 1.4496,                0.68898,                0.77975,                0.77728,                0.46112,                 1.4899,                 1.9872,                 1.5287,               0.000383,               0.000383,               0.000383
                      4,                 1.4766,                 1.3263,                 1.4391,                 0.7625,                0.83087,                0.78544,                0.45933,                 1.5008,                 2.5135,                 1.5716,             0.00051071,             0.00051071,             0.00051071
                      5,                 1.4534,                 1.2197,                 1.4456,                0.70568,                0.78495,                0.75598,                0.44067,                 1.5256,                 5.0346,                 1.6578,             0.00063591,             0.00063591,             0.00063591
                      6,                 1.4963,                 1.2303,                 1.4767,                0.74151,                0.64094,                0.66901,                0.36452,                 1.6846,                  1.822,                 1.8328,             0.00075037,             0.00075037,             0.00075037
                      7,                 1.4824,                 1.1399,                 1.4728,                0.59755,                0.77146,                0.66525,                0.35644,                 1.5894,                 8.9355,                 1.7684,             0.00074227,             0.00074227,             0.00074227
                      8,                 1.3757,                 1.0514,                  1.427,                0.71376,                0.76618,                0.76825,                0.40802,                 1.6379,                 1.6301,                 1.7098,             0.00073277,             0.00073277,             0.00073277
                      9,                 1.3975,                  1.033,                 1.4208,                 0.6954,                0.83375,                0.83682,                0.45662,                  1.619,                 1.6242,                 1.7599,             0.00072192,             0.00072192,             0.00072192
                     10,                 1.4487,                 1.0329,                 1.4756,                0.74962,                0.84652,                0.84478,                0.46317,                  1.561,                 1.6929,                  1.748,             0.00070974,             0.00070974,             0.00070974
                     11,                 1.4323,                0.99787,                 1.4498,                0.77699,                0.82485,                0.84884,                0.47654,                 1.5922,                 1.3097,                 1.7316,              0.0006963,              0.0006963,              0.0006963
