                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0092,                 3.7152,                 1.7906,                0.51949,                0.01852,                0.02521,                0.00862,                 2.3977,                  4.277,                 3.4459,                 0.0856,                 0.0016,                 0.0016
                      2,                 2.0168,                 2.6155,                 1.8062,                0.00105,                0.13533,                0.00126,                0.00028,                  2.502,                    inf,                 7.3187,               0.070297,              0.0032968,              0.0032968
                      3,                 2.1025,                 2.4724,                 1.9122,                0.00105,                0.13533,                0.00126,                0.00028,                 4.5094,                    inf,                 227.29,                0.05498,              0.0049805,              0.0049805
                      4,                 2.0855,                 2.3109,                 1.8896,                0.00105,                0.13533,                0.00126,                0.00028,                 4.3848,                    inf,                 154.71,               0.039641,              0.0066413,              0.0066413
                      5,                 1.9694,                  2.137,                 1.7999,                0.00105,                0.13533,                0.00126,                0.00028,                  4.077,                    inf,                 85.546,               0.024269,              0.0082694,              0.0082694
                      6,                 1.9573,                  1.992,                 1.7959,                0.00072,                0.12236,                0.00053,                  9e-05,                  4.005,                    inf,                 29.034,              0.0097577,              0.0097577,              0.0097577
                      7,                 1.9493,                 1.9889,                 1.8133,                0.32277,                0.18408,                0.16306,                0.06851,                 3.2701,                 111.82,                 5.1137,              0.0096524,              0.0096524,              0.0096524
                      8,                 1.9059,                  1.861,                 1.7546,                 0.3775,                0.17806,                 0.1665,                0.06971,                 3.2418,                 7.2585,                 3.9495,              0.0095289,              0.0095289,              0.0095289
                      9,                 1.8407,                 1.7186,                 1.6902,                0.57268,                0.27431,                0.26384,                0.10315,                 2.4004,                 11.121,                 2.4655,              0.0093877,              0.0093877,              0.0093877
                     10,                  1.861,                 1.7211,                 1.7192,                0.86299,                0.25928,                0.30008,                0.15931,                 2.5686,                  4.675,                 2.9952,              0.0092294,              0.0092294,              0.0092294
                     11,                 1.8354,                 1.6529,                 1.6962,                0.56957,                0.45781,                0.46934,                0.22466,                 1.9718,                 2.9818,                  2.167,              0.0090546,              0.0090546,              0.0090546
                     12,                 1.8397,                   1.59,                 1.6826,                0.55382,                0.18322,                0.10562,                0.04737,                 2.5205,                 7.2734,                 2.5648,               0.008864,               0.008864,               0.008864
